Time,Total length,FPS,Annotation code,startstop,manual,Time (mm:ss.ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss.ms),,
1124.036,1321.53,30,C,STOP,BIMANUAL,18:44.036,1124036,1172716.908,19:33.1933,,
1125.009,1321.53,30,EVS,START,SINGLE,18:45.009,1125009,1173727.512,19:34.1934,,
1132.041,1321.53,30,EVS,STOP,SINGLE,18:52.041,1132041,1181031.275,19:41.1941,,
1154.894,1321.53,30,EVS,START,SINGLE,19:14.894,1154894,1204767.469,20:05.205,,
1157.773,1321.53,30,EVS,STOP,SINGLE,19:17.773,1157773,1207757.733,20:08.208,,
1157.78,1321.53,30,C,START,BIMANUAL,19:17.780,1157780,1207765.004,20:08.208,,
1167.067,1321.53,30,C,STOP,BIMANUAL,19:27.067,1167067,1217410.916,20:17.2017,,
1167.676,1321.53,30,EVS,START,SINGLE,19:27.676,1167676,1218043.452,20:18.2018,,
1171.988,1321.53,30,EVS,STOP,SINGLE,19:31.988,1171988,1222522.096,20:23.2023,,
1172.603,1321.53,30,C,START,BIMANUAL,19:32.603,1172603,1223160.864,20:23.2023,,
1178.057,1321.53,30,C,STOP,BIMANUAL,19:38.057,1178057,1228825.643,20:29.2029,,
1178.694,1321.53,30,EVS,START,SINGLE,19:38.694,1178694,1229487.261,20:29.2029,,
1181.204,1321.53,30,EVS,STOP,SINGLE,19:41.204,1181204,1232094.265,20:32.2032,,
1181.205,1321.53,30,C,START,BIMANUAL,19:41.205,1181205,1232095.303,20:32.2032,,
1202.859,1321.53,30,C,STOP,BIMANUAL,20:02.859,1202859,1254586.16,20:55.2055,,
1230.649,1321.53,30,EVS,START,SINGLE,20:30.649,1230649,1283450.152,21:23.2123,,
1232.409,1321.53,30,EVS,STOP,SINGLE,20:32.409,1232409,1285278.171,21:25.2125,,
1232.521,1321.53,30,C,START,BIMANUAL,20:32.521,1232521,1285394.499,21:25.2125,,
1238.407,1321.53,30,C,STOP,BIMANUAL,20:38.407,1238407,1291507.974,21:32.2132,,
1239.346,1321.53,30,EVS,START,SINGLE,20:39.346,1239346,1292483.263,21:32.2132,,
1242.895,1321.53,30,EVS,STOP,SINGLE,20:42.895,1242895,1296169.42,21:36.2136,,
1242.99,1321.53,30,C,START,BIMANUAL,20:42.990,1242990,1296268.092,21:36.2136,,
1254.429,1321.53,30,C,STOP,BIMANUAL,20:54.429,1254429,1308149.172,21:48.2148,,
1254.845,1321.53,30,ST,START,BIMANUAL,20:54.845,1254845,1308581.249,21:49.2149,,
1286.288,1321.53,30,ST,STOP,BIMANUAL,21:26.288,1286288,1341239.418,22:21.2221,,
1286.289,1321.53,30,C,START,BIMANUAL,21:26.289,1286289,1341240.457,22:21.2221,,
1300.076,1321.53,30,C,STOP,BIMANUAL,21:40.076,1300076,1355560.279,22:36.2236,,
