Time,Total length,FPS,Annotation code,startstop,Manual,Time (mm:ss:ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss:ms)
541.601,1165.27,30,ST,START,BIMANUAL,09:01.601,541601,585035.0791,09:45.035
544.988,1165.27,30,ST,STOP,BIMANUAL,09:04.988,544988,588717.4425,09:48.717
545.031,1165.27,30,C,START,BIMANUAL,09:05.031,545031,588764.1923,09:48.764
547.033,1165.27,30,C,STOP,BIMANUAL,09:07.033,547033,590940.7767,09:50.941
549.209,1165.27,30,ST,START,BIMANUAL,09:09.209,549209,593306.5348,09:53.307
565.591,1165.27,30,ST,STOP,BIMANUAL,09:25.591,565591,611117.1271,10:11.117
565.866,1165.27,30,C,START,BIMANUAL,09:25.866,565866,611416.1085,10:11.416
582.125,1165.27,30,C,STOP,BIMANUAL,09:42.125,582125,629092.9746,10:29.093
582.383,1165.27,30,EVS,START,BIMANUAL,09:42.383,582383,629373.4735,10:29.373
586.117,1165.27,30,EVS,STOP,BIMANUAL,09:46.117,586117,633433.0969,10:33.433
586.129,1165.27,30,C,START,BIMANUAL,09:46.129,586129,633446.1434,10:33.446
592.114,1165.27,30,C,STOP,BIMANUAL,09:52.114,592114,639953.0653,10:39.953
596.816,1165.27,30,ST,START,BIMANUAL,09:56.816,596816,645065.1032,10:45.065
605.115,1165.27,30,ST,STOP,BIMANUAL,10:05.115,605115,654087.8175,10:54.088
605.132,1165.27,30,C,START,BIMANUAL,10:05.132,605132,654106.3,10:54.106
623.754,1165.27,30,C,STOP,BIMANUAL,10:23.754,623754,674352.2315,11:14.352
623.944,1165.27,30,IS,START,BIMANUAL,10:23.944,623944,674558.8005,11:14.559
629.069,1165.27,30,IS,STOP,BIMANUAL,10:29.069,629069,680130.7261,11:20.131
667.064,1165.27,30,C,START,BIMANUAL,11:07.064,667064,721439.0801,12:01.439
678.796,1165.27,30,C,STOP,BIMANUAL,11:18.796,678796,734194.1691,12:14.194
696.433,1165.27,30,C,START,BIMANUAL,11:36.433,696433,753369.2037,12:33.369
699.302,1165.27,30,C,STOP,BIMANUAL,11:39.302,699302,756488.3948,12:36.488
700.129,1165.27,30,ST,START,BIMANUAL,11:40.129,700129,757387.5134,12:37.388
713.539,1165.27,30,ST,STOP,BIMANUAL,11:53.539,713539,771966.9324,12:51.967
713.866,1165.27,30,C,START,BIMANUAL,11:53.866,713866,772322.4485,12:52.322
719.005,1165.27,30,C,STOP,BIMANUAL,11:59.005,719005,777909.595,12:57.910
720.368,1165.27,30,ST,START,BIMANUAL,12:00.368,720368,779391.4554,12:59.391
737.751,1165.27,30,ST,STOP,BIMANUAL,12:17.751,737751,798290.3399,13:18.290
737.952,1165.27,30,C,START,BIMANUAL,12:17.952,737952,798508.8681,13:18.509
746.333,1165.27,30,C,STOP,BIMANUAL,12:26.333,746333,807620.7332,13:27.621
753.933,1165.27,30,IS,START,BIMANUAL,12:33.933,753933,815883.4912,13:35.883
767.866,1165.27,30,IS,STOP,BIMANUAL,12:47.866,767866,831031.5185,13:51.032
768.413,1165.27,30,C,START,BIMANUAL,12:48.413,768413,831626.2196,13:51.626
770.005,1165.27,30,C,STOP,BIMANUAL,12:50.005,770005,833357.05,13:53.357
770.11,1165.27,30,IS,START,BIMANUAL,12:50.110,770110,833471.2065,13:53.471
776.559,1165.27,30,IS,STOP,BIMANUAL,12:56.559,776559,840482.5915,14:00.483
776.591,1165.27,30,ST,START,BIMANUAL,12:56.591,776591,840517.3821,14:00.517
778.293,1165.27,30,ST,STOP,BIMANUAL,12:58.293,778293,842367.805,14:02.368
793.064,1165.27,30,EVS,START,SINGLE,13:13.064,793064,858426.9101,14:18.427
796.954,1165.27,30,EVS,STOP,SINGLE,13:16.954,796954,862656.1375,14:22.656
800.151,1165.27,30,EVS,START,SINGLE,13:20.151,800151,866131.9319,14:26.132
804.614,1165.27,30,EVS,STOP,SINGLE,13:24.614,804614,870984.1278,14:30.984
805.013,1165.27,30,IS,START,SINGLE,13:25.013,805013,871417.9226,14:31.418
806.548,1165.27,30,IS,STOP,SINGLE,13:26.548,806548,873086.7823,14:33.087
806.934,1165.27,30,C,START,SINGLE,13:26.934,806934,873506.4434,14:33.506
809.209,1165.27,30,C,STOP,SINGLE,13:29.209,809209,875979.8348,14:35.980
809.209,1165.27,30,IS,START,SINGLE,13:29.209,809209,875979.8348,14:35.980
812.543,1165.27,30,IS,STOP,SINGLE,13:32.543,812543,879604.5763,14:39.605
812.855,1165.27,30,ST,START,SINGLE,13:32.855,812855,879943.7842,14:39.944
840.688,1165.27,30,ST,STOP,SINGLE,14:00.688,840688,910203.961,15:10.204
840.689,1165.27,30,C,START,BIMANUAL,14:00.689,840689,910205.0482,15:10.205
861.387,1165.27,30,C,STOP,BIMANUAL,14:21.387,861387,932708.0173,15:32.708
870.076,1165.27,30,EVS,START,SINGLE,14:30.076,870076,942154.7415,15:42.155
875.219,1165.27,30,EVS,STOP,SINGLE,14:35.219,875219,947746.2368,15:47.746
875.269,1165.27,30,C,START,BIMANUAL,14:35.269,875269,947800.5971,15:47.801
907.937,1165.27,30,C,STOP,BIMANUAL,15:07.937,907937,983317.41,16:23.317
