mag_chg,action,action_change,class,path_length,path_length_norm,v_mean,v_sd,v_var,v_mean_norm,v_sd_norm,a_mean,a_sd,a_var,a_mean_norm,a_sd_norm,c_mean,c_sd,c_var,c_mean_norm,c_sd_norm,j_mean,j_sd,j_var,j_mean_norm,j_sd_norm,tip_distance_mean,tip_distance_sd,tip_distance_mean_norm,tip_distance_sd_norm,missing_after_interpolation,duration_f
"(0, 11000]",EVS,4.0,microscissors,359.92324393872246,0.313762499266516,3.4278404184640237,3.7863675063439985,1.1045927009754517,0.49006714171151095,0.5413245877224373,2.4642315339052194,3.023450022444689,1.2269342311569407,0.5411001970569604,0.6638943542549509,1.104315496389506,3.2851698083095404,2.974847151063449,1.0,2.974847151063449,2.1367818890510226,2.7513576802645097,1.2876174654804986,0.518308519731687,0.6673831025138639,52.63591840145607,15.666935913310647,0.5691219800628967,0.16939758741352573,0.0,106.0
"(26000, 34960]",D,82.0,microforceps,2791.3473454794353,1.0,2.8806474153554573,2.865050993801122,0.9945857929466835,0.3947589229529137,0.3926216164079024,2.2259286715757582,2.68774306259568,1.2074704355611712,0.4248376361299337,0.5129788855405895,0.8931739369006204,2.6895673033051355,3.0112469611889177,0.7787189875327255,2.3449151848280305,1.790336217589104,2.3271112095617106,1.299817982063412,0.40683032526560253,0.5288053724289369,68.1434053345241,11.929009358934707,0.49925654679752823,0.08739856762397198,0.00816326530612245,980.0
"(26000, 34960]",D,82.0,microscissors,4135.778602740038,0.8051719055442889,4.2244929547906365,4.082050679096057,0.9662818053624525,0.4793076865886852,0.46314629672101526,3.100376970306947,3.621810807425145,1.1681840118514926,0.44855235317932385,0.5239916874624501,0.9205425811240657,3.3010416516295176,3.5859738803159407,0.835145898944044,2.9948113798663183,2.371888521588876,2.9502492582415436,1.2438397637108327,0.27483871006813243,0.34185531618973586,68.1434053345241,11.929009358934707,0.49925654679752823,0.08739856762397198,0.0,980.0
"(26000, 34960]",D,84.0,microforceps,850.3141817016798,0.30462499877657895,2.9020961832821817,3.0763556599015556,1.0600460720851408,0.39769822488909873,0.42157844116892207,1.9790326021674514,2.669184081814836,1.3487317383713262,0.37771539729244935,0.5094367443998613,0.7026577355654773,1.6103396030985404,2.2917837826158545,0.6126163088908713,1.4039841216820839,1.5144854785714823,2.136116167101485,1.4104566846797022,0.34414687800203814,0.48540426458962466,81.51842129629323,25.12293478377209,0.5972493642925406,0.18406461496885151,0.0,294.0
"(26000, 34960]",D,84.0,microscissors,1647.0393162657463,0.32065299237861816,5.62129459476364,5.569548589130496,0.9907946461867794,0.6377877148059229,0.6319166532334088,4.184988272158395,4.776068826585054,1.141238282161735,0.6054703526322069,0.6909859451378398,0.7834979836426768,2.50877276972053,3.2020156045030546,0.7108146231227097,2.276039515147874,3.5432312812527478,4.69639673595254,1.3254558800045584,0.4105661399972637,0.544187304390148,81.51842129629323,25.12293478377209,0.5972493642925406,0.18406461496885151,0.0,294.0
"(26000, 34960]",D,85.0,microforceps,1489.784357264276,0.5337151464424411,2.665088295642712,3.991184286539769,1.4975805090830043,0.3652190752517047,0.5469449686422719,2.1750898515859274,4.164926342759501,1.9148295596720846,0.41513460998003227,0.7949120224327078,0.9065299800219081,1.9184560751108177,2.1162632426833303,0.7903635328414964,1.672617292909798,1.8151457637635575,3.493199709518605,1.924473383490557,0.4124679678718816,0.7937836257118744,102.71870921139327,30.03747939598207,0.7525744831891708,0.22007130644734815,0.0,562.0
"(26000, 34960]",D,85.0,microscissors,2729.485636434459,0.5313884910540605,4.865393291327021,4.888559147883366,1.0047613533314232,0.552023740545127,0.5546521206211964,3.5004753100907524,3.9956695646683937,1.1414648614004375,0.5064372663792174,0.5780803440755697,0.7881189993133275,2.4247303083082152,3.0766043077515386,0.7150069574757688,2.1997934854422714,2.7667451764344424,3.4708027067887373,1.2544714042879899,0.32059208030109637,0.40217359717892437,102.71870921139327,30.03747939598207,0.7525744831891708,0.22007130644734815,0.0,562.0
"(26000, 34960]",D,86.0,microforceps,1854.0685324326719,0.664219927855027,2.4920275973557398,2.510191066330827,1.0072886307496596,0.3415031374742887,0.34399222774318894,1.893907437711779,2.340235701103253,1.2356652994249435,0.361468527343594,0.4466541160727155,0.9615364041224688,2.5535856564134902,2.6557347651792553,0.8383212095198189,2.2263587805089053,1.4658353779481483,1.9390967684636493,1.3228612145914804,0.3330917833967087,0.4406342011546124,73.4769664115114,17.15694657562779,0.5383331863103072,0.1257013478984133,0.0,745.0
"(26000, 34960]",D,86.0,microscissors,4072.6042456934106,0.7928728387105206,5.4812977734769905,4.9949572101035145,0.9112727344011868,0.6219037842943146,0.5667239620483259,3.953974509347061,4.130752541198279,1.0447089457540308,0.5720480404688009,0.5976237052788201,1.102253608965807,3.901977120780713,3.5399994058007715,1.0,3.5399994058007715,3.0598286395307603,3.427976618757527,1.1203165348773336,0.35455264809613507,0.39721119414664463,73.4769664115114,17.15694657562779,0.5383331863103072,0.1257013478984133,0.0,745.0
"(26000, 34960]",D,88.0,microforceps,452.5715465466326,0.1621337263094715,1.7959188355025097,1.5410770114296624,0.8580994758588069,0.24610960072194057,0.21118651938331745,1.1882998344424296,1.320512567178338,1.1112620980865027,0.22679724607740273,0.25203118351621534,0.9932239706250744,2.2677365403082517,2.2832076222255058,0.8659482020739361,1.9771395354276833,1.0242141487346672,1.2696654781755434,1.2396484463177073,0.2327391755680767,0.2885147573902304,93.7532635121165,21.50583392069652,0.6868886337904186,0.1575637191381797,0.0,253.0
"(26000, 34960]",D,88.0,microscissors,1807.4278641726737,0.3518781533821942,7.17233279433601,7.584254395958788,1.0574320257347891,0.8137673031739561,0.8605036078719727,4.893323864155047,5.397784248614406,1.1030915587162893,0.7079500187094943,0.7809336896314821,0.6538428248832893,2.5665688823538133,3.925360629004295,0.5931872842736794,2.3284740113138795,4.223984918615287,5.144167940402628,1.2178471371268524,0.489447356320861,0.5960720616696671,93.7532635121165,21.50583392069652,0.6868886337904186,0.1575637191381797,0.0,253.0
"(26000, 34960]",D,89.0,microforceps,2428.391038370801,0.8699709272310955,2.511262707725752,2.6841269783394295,1.0688355981562068,0.34413908362030793,0.3678281032902406,1.8994238852589789,2.33532649698646,1.2294920133996565,0.3625213888147247,0.44571715223425556,0.9218605868226495,1.8285386642229935,1.9835305797434788,0.8037296131903725,1.5942222656085014,1.4828315443923377,2.0421379497791796,1.3771880949673518,0.3369539383678398,0.4640489524725518,74.11050977073879,17.10477443291502,0.5429748778756409,0.12531910571838228,0.0,968.0
"(26000, 34960]",D,89.0,microscissors,5136.5162821277145,1.0,5.32281480013234,6.316778924063065,1.1867365597439183,0.603922429341082,0.7166968261484252,4.105205058374419,5.59865244096322,1.3637936135595081,0.5939275794050312,0.8099946397094391,0.7717289744880952,2.6009903172615045,3.3703416655916008,0.7001373986991727,2.35970224647474,3.2842902781923344,4.729277476014547,1.4399693922966912,0.38056177401753416,0.5479973064633794,74.11050977073879,17.10477443291502,0.5429748778756409,0.12531910571838228,0.0,968.0
