,mag_chg,class,action,action_change,gaze_tool_mean,gaze_tool_sd,gaze_tool_mean_norm,gaze_tool_sd_norm,gaze_missing
55,"(10713, 32300]",microscissors,D,53.0,51.52634693572383,14.89481024211671,0.4558961995097556,0.13178670302924317,0.02247191011235955
58,"(10713, 32300]",microscissors,EVS,33.0,80.49494776421321,33.63297760112147,0.7122053657562593,0.29757876462065586,0.0
61,"(10713, 32300]",microscissors,EVS,41.0,70.0299632469698,11.42697609214087,0.619612994026682,0.10110390668281673,0.1223021582733813
62,"(10713, 32300]",microscissors,EVS,46.0,67.69872312948826,12.1009940836128,0.5989865849581273,0.10706750121236039,0.028455284552845527
64,"(10713, 32300]",microscissors,EVS,52.0,80.74318607417007,24.06059985324287,0.7144017353576834,0.21288402309408383,0.0784313725490196
66,"(32300, 39034]",microforceps,D,55.0,77.13741059141014,16.76271982711031,0.5637154384350398,0.12250092249992492,0.018404907975460124
67,"(32300, 39034]",microforceps,D,57.0,76.06301285863161,13.63493796469182,0.5558638060773636,0.09964328558439761,0.016129032258064516
68,"(32300, 39034]",microforceps,D,60.0,136.83749873084085,34.516119359731555,1.0,0.25224167117834206,0.017921146953405017
69,"(32300, 39034]",microforceps,D,66.0,79.1132213387758,55.05834073792433,0.57815454150029,0.40236295787767945,0.03389830508474576
70,"(32300, 39034]",microforceps,D,68.0,37.9674601594799,21.98269964816527,0.2774638568493702,0.1606482130414062,0.13702623906705538
71,"(32300, 39034]",microforceps,D,70.0,91.01445405052333,21.008474585916268,0.6651280160385613,0.15352863638087907,0.034482758620689655
72,"(32300, 39034]",microforceps,EVS,56.0,85.76431477906955,15.22135704685954,0.6267603220939301,0.11123673837973264,0.0
73,"(32300, 39034]",microforceps,EVS,58.0,81.6181961107812,21.429949098085803,0.5964607426164963,0.15660874611745484,0.04265402843601896
74,"(32300, 39034]",microforceps,EVS,59.0,67.91619859799734,23.215659474470353,0.49632738999116316,0.16965860739778296,0.0
75,"(32300, 39034]",microforceps,EVS,65.0,75.23213640347852,15.929973992050062,0.5497918121951353,0.11641526730464649,0.018867924528301886
76,"(32300, 39034]",microforceps,ST,69.0,90.83386292351457,34.45068188996591,0.6638082672220181,0.25176345818575907,0.15800636267232238
77,"(32300, 39034]",microscissors,D,55.0,80.65971144569401,20.91261881118788,0.7832785433495606,0.20308038928555236,0.018404907975460124
78,"(32300, 39034]",microscissors,D,57.0,88.73319600127263,23.37632817806821,0.8616793596815956,0.2270052292030117,0.016129032258064516
79,"(32300, 39034]",microscissors,D,60.0,76.66158231788876,32.874942403949234,0.7444531036942352,0.31924533992664966,0.017921146953405017
80,"(32300, 39034]",microscissors,D,66.0,102.52645378644176,71.06324156273323,0.9956243326100728,0.6900881659418228,0.03389830508474576
81,"(32300, 39034]",microscissors,D,68.0,102.977047093319,28.363168036802715,1.0,0.27543194175202634,0.13702623906705538
82,"(32300, 39034]",microscissors,D,70.0,75.25247738541141,11.08529773923807,0.7307694239592706,0.1076482386331436,0.034482758620689655
83,"(32300, 39034]",microscissors,EVS,56.0,84.13807082347799,7.992612076630802,0.8170565499633242,0.0776154716243495,0.0
84,"(32300, 39034]",microscissors,EVS,58.0,98.74864465510947,29.787527242119832,0.9589383988222375,0.28926375423375683,0.04265402843601896
85,"(32300, 39034]",microscissors,EVS,59.0,91.72521663288414,22.287304900238016,0.8907345784518532,0.21642983100924423,0.0
86,"(32300, 39034]",microscissors,EVS,65.0,87.61501196282235,17.742979769328606,0.8508207842027613,0.17230033556166852,0.018867924528301886
87,"(32300, 39034]",microscissors,ST,69.0,95.15957050628565,32.02587360829499,0.9240852519304709,0.31100011616445716,0.15800636267232238
